Algorithm,Energy Consumption (J)
ML-DSA,9.1427
SLH-DSA,11.0076
Falcon,9.1419
MiRitH,16.5192
MQOM,26.7267
PERK,11.3867
MIRA,11.3639
SDitH,10.3749
MAYO,9.1950
QR-UOV,9.1839
SNOVA,9.2444
UOV,9.1092
LESS,21.6149
CROSS,9.1258
SQISign,11.9562
HAWK,9.1075
FAEST,10.6030
